id,name_uk,name_ru,name_en,category,kcal,protein_g,fat_g,carbs_g,fiber_g,iron_mg,calcium_mg,magnesium_mg,potassium_mg,zinc_mg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b6_mg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,omega3_g,raw_weight,boiled_weight,boiled_kcal,boiled_protein,boiled_fat,boiled_vitamins_loss,fried_weight,fried_kcal,fried_protein,fried_fat,fried_vitamins_loss,baked_weight,baked_kcal,baked_protein,baked_fat,baked_vitamins_loss,stewed_weight,stewed_kcal,stewed_protein,stewed_fat,stewed_vitamins_loss,steamed_weight,steamed_kcal,steamed_protein,steamed_fat,steamed_vitamins_loss,grilled_weight,grilled_kcal,grilled_protein,grilled_fat,grilled_vitamins_loss
11,Креветки,Креветки,Shrimp,Риба/Морепродукти,99,20.9,1.7,0.9,0.0,2.4,52,34,113,1.2,54,0.03,0.03,0.16,1.11,2.1,0.0,1.0,0.3,0.32,1.0,1.10,1.0,1.0,0.9,0.12,0.75,1.25,1.0,1.4,0.20,0.82,1.08,1.0,0.95,0.08,0.88,1.05,1.0,0.92,0.15,1.08,1.0,1.0,0.95,0.10,0.78,1.12,1.0,0.9,0.15
12,Мідії,Мидии,Mussels,Риба/Морепродукти,86,11.9,2.2,3.7,0.0,5.8,26,34,268,1.6,48,0.16,0.21,0.05,16.0,8.0,0.0,0.6,0.0,0.61,1.0,1.12,1.0,1.0,0.88,0.15,0.78,1.2,1.0,1.3,0.22,0.85,1.1,1.0,0.92,0.10,0.90,1.08,1.0,0.9,0.18,1.10,1.0,1.0,0.92,0.12,0.82,1.15,1.0,0.88,0.18
13,Яйце куряче,Куриное яйцо,Chicken egg,Яйця/Молочка,143,12.6,9.5,0.7,0.0,1.8,56,12,138,1.3,160,0.04,0.46,0.17,0.89,0.0,2.0,1.0,0.3,0.04,1.0,1.08,1.0,1.0,1.0,0.05,0.92,1.15,1.0,1.2,0.15,0.95,1.05,1.0,1.05,0.08,0.98,1.03,1.0,1.02,0.10,1.05,1.0,1.0,1.0,0.05,0.90,1.1,1.0,1.08,0.12
14,Творог 9%,Творог 9%,Cottage cheese 9%,Яйця/Молочка,159,16.7,9.0,2.0,0.0,0.4,164,23,112,0.8,84,0.04,0.30,0.11,1.32,0.0,0.0,0.1,0.0,0.01,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
15,Творог 0%,Творог 0%,Cottage cheese 0%,Яйця/Молочка,71,16.5,0.0,1.3,0.0,0.1,83,8,104,0.5,17,0.03,0.16,0.05,0.86,0.0,0.0,0.0,0.0,0.00,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
16,Молоко 2.5%,Молоко 2.5%,Milk 2.5%,Яйця/Молочка,52,3.2,2.5,4.8,0.0,0.0,120,12,150,0.4,21,0.04,0.18,0.04,0.45,1.5,1.3,0.1,0.3,0.01,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
17,Кефір 2.5%,Кефир 2.5%,Kefir 2.5%,Яйця/Молочка,51,3.0,2.5,4.0,0.0,0.1,120,14,146,0.4,22,0.04,0.17,0.06,0.50,0.9,0.0,0.1,0.2,0.01,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
18,Йогурт натуральний 3.2%,Йогурт натуральный 3.2%,Greek yogurt 3.2%,Яйця/Молочка,97,10.2,3.3,5.0,0.0,0.1,121,11,141,0.6,27,0.03,0.14,0.03,0.37,0.8,0.0,0.1,0.2,0.01,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
19,Сир твердий (Чеддер),Сыр твердый (Чеддер),Cheddar cheese,Яйця/Молочка,403,24.9,33.1,1.3,0.0,0.7,721,28,98,3.1,265,0.03,0.38,0.07,0.83,0.0,0.6,0.7,2.8,0.08,1.0,1.0,1.0,1.0,1.0,0.0,0.95,1.05,1.0,1.08,0.05,0.98,1.02,1.0,1.03,0.02,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.96,1.03,1.0,1.05,0.03
20,Сир фета,Сыр фета,Feta cheese,Яйця/Молочка,264,14.2,21.3,4.1,0.0,0.6,493,19,62,2.9,125,0.15,0.84,0.42,1.69,0.0,0.0,0.2,1.8,0.27,1.0,1.0,1.0,1.0,1.0,0.0,0.95,1.05,1.0,1.08,0.05,0.98,1.02,1.0,1.03,0.02,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.96,1.03,1.0,1.05,0.03
21,Моцарела,Моцарелла,Mozzarella,Яйця/Молочка,280,27.5,17.1,3.1,0.0,0.4,731,20,76,3.0,179,0.03,0.28,0.04,2.28,0.0,0.0,0.2,2.3,0.06,1.0,1.0,1.0,1.0,1.0,0.0,0.95,1.05,1.0,1.08,0.05,0.98,1.02,1.0,1.03,0.02,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.96,1.03,1.0,1.05,0.03
22,Вершкове масло 82%,Сливочное масло 82%,Butter 82%,Масла/Жири,717,0.9,81.1,0.8,0.0,0.0,24,2,24,0.1,684,0.01,0.03,0.00,0.17,0.0,1.5,2.3,7.0,0.32,1.0,1.0,1.0,1.0,1.0,0.0,0.98,1.02,1.0,1.03,0.02,0.99,1.01,1.0,1.02,0.01,0.99,1.01,1.0,1.02,0.01,1.0,1.0,1.0,1.0,0.0,0.98,1.02,1.0,1.03,0.02
23,Вівсянка (пластівці),Овсянка (хлопья),Oatmeal (rolled oats),Крупи/Злаки,389,16.9,6.9,66.3,10.6,4.7,54,177,429,4.0,0,0.76,0.14,0.12,0.00,0.0,0.0,0.4,2.0,0.11,1.0,2.50,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.30,1.0,1.0,1.0,0.08,2.40,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0,0.0
24,Гречка,Гречка,Buckwheat,Крупи/Злаки,343,13.3,3.4,71.5,10.0,2.2,18,231,460,2.4,0,0.43,0.20,0.21,0.00,0.0,0.0,0.2,7.0,0.08,1.0,2.20,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.00,1.0,1.0,1.0,0.10,2.15,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.0
25,Рис білий,Рис белый,White rice,Крупи/Злаки,365,7.1,0.7,79.9,1.3,0.8,28,25,115,1.1,0,0.07,0.05,0.16,0.00,0.0,0.0,0.1,0.0,0.02,1.0,2.60,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.40,1.0,1.0,1.0,0.08,2.50,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0,0.0
26,Рис бурий,Рис бурый,Brown rice,Крупи/Злаки,370,7.9,2.9,77.2,3.5,1.5,23,143,223,2.0,0,0.40,0.09,0.51,0.00,0.0,0.0,1.2,1.9,0.03,1.0,2.40,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.20,1.0,1.0,1.0,0.10,2.35,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.0
27,Кіноа,Киноа,Quinoa,Крупи/Злаки,368,14.1,6.1,64.2,7.0,4.6,47,197,563,3.1,1,0.36,0.32,0.49,0.00,0.0,0.0,2.4,0.0,0.31,1.0,2.30,1.0,1.0,1.0,0.10,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.10,1.0,1.0,1.0,0.12,2.25,1.0,1.0,1.0,0.10,1.0,1.0,1.0,1.0,0.0
28,Перлова крупа,Перловая крупа,Pearl barley,Крупи/Злаки,354,9.9,1.2,77.7,15.6,2.5,29,79,280,2.1,0,0.19,0.09,0.26,0.00,0.0,0.0,0.6,2.2,0.08,1.0,2.80,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.60,1.0,1.0,1.0,0.10,2.70,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.0
29,Булгур,Булгур,Bulgur,Крупи/Злаки,342,12.3,1.3,75.9,12.5,2.5,35,164,410,1.9,0,0.23,0.12,0.34,0.00,0.0,0.0,0.1,1.9,0.04,1.0,2.50,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.30,1.0,1.0,1.0,0.10,2.45,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.0
30,Макарони (тверді сорти),Макароны (твердые сорта),Pasta (durum wheat),Крупи/Злаки,371,13.0,1.5,74.7,3.2,3.3,21,53,223,1.4,0,0.09,0.06,0.14,0.00,0.0,0.0,0.1,0.0,0.01,1.0,2.40,1.0,1.0,1.0,0.05,0.98,1.05,1.0,1.15,0.08,1.0,1.0,1.0,1.0,0.0,2.20,1.0,1.0,1.0,0.08,2.35,1.0,1.0,1.0,0.05,0.98,1.05,1.0,1.15,0.08
31,Соя (боби сухі),Соя (бобы сухие),Soybeans (dry),Бобові,446,36.5,19.9,30.2,9.3,15.7,277,280,1797,4.9,1,0.87,0.87,0.38,0.00,6.0,0.0,0.9,47.0,1.44,1.0,2.10,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.90,1.0,1.0,1.0,0.18,2.05,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.0
32,Соєве молоко,Соевое молоко,Soy milk,Бобові,54,3.3,1.8,6.3,0.6,0.6,25,25,118,0.1,3,0.06,0.07,0.08,0.00,0.0,1.0,0.1,3.0,0.08,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
33,Тофу,Тофу,Tofu,Бобові,76,8.2,4.8,1.9,0.3,5.4,350,30,121,0.8,85,0.08,0.05,0.05,0.00,0.1,0.0,0.0,2.4,0.12,1.0,1.05,1.0,1.0,0.95,0.08,0.92,1.15,1.0,1.25,0.15,0.95,1.08,1.0,1.1,0.10,0.98,1.05,1.0,1.05,0.12,1.03,1.0,1.0,0.98,0.08,0.88,1.12,1.0,1.15,0.18
34,Сочевиця червона,Чечевица красная,Red lentils,Бобові,358,24.6,1.1,63.4,10.7,6.5,35,47,677,3.3,8,0.50,0.21,0.54,0.00,4.5,0.0,0.5,5.0,0.18,1.0,2.30,1.0,1.0,1.0,0.12,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.10,1.0,1.0,1.0,0.15,2.25,1.0,1.0,1.0,0.12,1.0,1.0,1.0,1.0,0.0
35,Нут,Нут,Chickpeas,Бобові,364,19.3,6.0,60.6,17.4,6.2,105,115,875,3.4,3,0.48,0.21,0.53,0.00,4.0,0.0,0.8,9.0,0.09,1.0,2.40,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.20,1.0,1.0,1.0,0.18,2.35,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.0
36,Квасоля біла,Фасоль белая,White beans,Бобові,333,23.4,0.9,60.3,15.2,10.4,240,190,1795,3.7,0,0.64,0.15,0.32,0.00,0.0,0.0,0.2,19.0,0.39,1.0,2.35,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.15,1.0,1.0,1.0,0.18,2.30,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.0
37,Квасоля червона,Фасоль красная,Red kidney beans,Бобові,333,22.5,1.1,60.0,15.6,8.2,143,140,1406,2.8,0,0.53,0.22,0.40,0.00,4.5,0.0,0.7,19.0,0.36,1.0,2.35,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.15,1.0,1.0,1.0,0.18,2.30,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.0
38,Горох сухий,Горох сухой,Split peas,Бобові,341,24.6,1.2,60.0,25.5,4.4,55,71,981,3.8,14,0.74,0.15,0.16,0.00,1.0,0.0,0.4,14.5,0.18,1.0,2.50,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.30,1.0,1.0,1.0,0.18,2.45,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.0
39,Броколі,Брокколи,Broccoli,Овочі,34,2.8,0.4,6.6,2.6,0.7,47,21,316,0.4,31,0.07,0.12,0.18,0.00,89.2,0.0,0.8,101.6,0.02,1.0,1.05,1.0,1.0,1.0,0.15,0.85,1.1,1.0,1.2,0.30,0.92,1.05,1.0,1.05,0.18,0.98,1.02,1.0,1.02,0.20,1.03,1.0,1.0,1.0,0.12,0.88,1.08,1.0,1.08,0.25
40,Цвітна капуста,Цветная капуста,Cauliflower,Овочі,25,1.9,0.3,5.0,2.0,0.4,22,15,299,0.3,0,0.05,0.06,0.18,0.00,48.2,0.0,0.1,15.5,0.01,1.0,1.08,1.0,1.0,1.0,0.18,0.82,1.12,1.0,1.25,0.32,0.90,1.08,1.0,1.08,0.20,0.95,1.05,1.0,1.05,0.22,1.05,1.0,1.0,1.0,0.15,0.85,1.1,1.0,1.12,0.28
41,Білокачанна капуста,Белокочанная капуста,White cabbage,Овочі,25,1.3,0.1,5.8,2.5,0.5,40,12,170,0.2,5,0.06,0.04,0.12,0.00,36.6,0.0,0.2,76.0,0.01,1.0,1.10,1.0,1.0,1.0,0.20,0.80,1.15,1.0,1.3,0.35,0.88,1.1,1.0,1.1,0.22,0.92,1.08,1.0,1.08,0.25,1.08,1.0,1.0,1.0,0.18,0.82,1.12,1.0,1.15,0.30
42,Морква,Морковь,Carrot,Овочі,41,0.9,0.2,9.6,2.8,0.3,33,12,320,0.2,835,0.07,0.06,0.14,0.00,5.9,0.0,0.7,13.2,0.00,1.0,1.08,1.0,1.0,1.0,0.12,0.85,1.1,1.0,1.2,0.25,0.92,1.05,1.0,1.05,0.15,0.95,1.03,1.0,1.03,0.18,1.05,1.0,1.0,1.0,0.10,0.88,1.08,1.0,1.1,0.22
43,Буряк,Свекла,Beetroot,Овочі,43,1.6,0.2,9.6,2.8,0.8,16,23,325,0.4,2,0.03,0.04,0.07,0.00,4.9,0.0,0.0,0.2,0.01,1.0,1.12,1.0,1.0,1.0,0.15,0.82,1.15,1.0,1.25,0.28,0.90,1.08,1.0,1.08,0.18,0.95,1.05,1.0,1.05,0.20,1.10,1.0,1.0,1.0,0.12,0.85,1.12,1.0,1.15,0.25
44,Помідор,Помидор,Tomato,Овочі,18,0.9,0.2,3.9,1.2,0.3,10,11,237,0.2,42,0.04,0.02,0.08,0.00,13.7,0.0,0.5,7.9,0.00,1.0,0.95,1.0,1.0,1.0,0.10,0.75,1.2,1.0,1.4,0.25,0.85,1.1,1.0,1.15,0.15,0.88,1.08,1.0,1.1,0.18,0.93,1.0,1.0,1.0,0.08,0.78,1.15,1.0,1.3,0.22
45,Огірок,Огурец,Cucumber,Овочі,15,0.7,0.1,3.6,0.5,0.3,16,13,147,0.2,5,0.03,0.03,0.04,0.00,2.8,0.0,0.0,16.4,0.00,1.0,0.98,1.0,1.0,1.0,0.08,0.80,1.15,1.0,1.3,0.20,0.88,1.08,1.0,1.1,0.12,0.92,1.05,1.0,1.05,0.15,0.95,1.0,1.0,1.0,0.08,0.82,1.12,1.0,1.2,0.18
46,Болгарський перець (червоний),Болгарский перец (красный),Red bell pepper,Овочі,31,1.0,0.3,6.0,2.1,0.4,7,12,211,0.3,157,0.05,0.09,0.29,0.00,127.7,0.0,1.6,4.9,0.01,1.0,0.92,1.0,1.0,1.0,0.15,0.75,1.2,1.0,1.4,0.30,0.85,1.1,1.0,1.15,0.20,0.88,1.08,1.0,1.1,0.22,0.90,1.0,1.0,1.0,0.12,0.78,1.15,1.0,1.3,0.28
47,Кабачок,Кабачок,Zucchini,Овочі,17,1.2,0.3,3.1,1.0,0.4,16,18,261,0.3,10,0.05,0.09,0.16,0.00,17.9,0.0,0.1,4.3,0.01,1.0,0.95,1.0,1.0,1.0,0.12,0.78,1.15,1.0,1.35,0.25,0.85,1.1,1.0,1.15,0.15,0.88,1.08,1.0,1.1,0.18,0.93,1.0,1.0,1.0,0.10,0.80,1.12,1.0,1.25,0.22
48,Баклажан,Баклажан,Eggplant,Овочі,25,1.0,0.2,5.9,3.0,0.2,9,14,229,0.2,1,0.04,0.04,0.08,0.00,2.2,0.0,0.3,3.5,0.00,1.0,0.90,1.0,1.0,1.0,0.15,0.72,1.2,1.0,1.4,0.30,0.80,1.15,1.0,1.2,0.20,0.85,1.1,1.0,1.15,0.22,0.88,1.0,1.0,1.0,0.12,0.75,1.18,1.0,1.35,0.28
49,Шпинат,Шпинат,Spinach,Овочі,23,2.9,0.4,3.6,2.2,2.7,99,79,558,0.5,469,0.08,0.19,0.20,0.00,28.1,0.0,2.0,482.9,0.14,1.0,0.92,1.0,1.0,1.0,0.20,0.70,1.15,1.0,1.35,0.35,0.82,1.12,1.0,1.15,0.22,0.85,1.1,1.0,1.12,0.28,0.90,1.0,1.0,1.0,0.15,0.75,1.15,1.0,1.25,0.32
50,Салат (айсберг),Салат (айсберг),Lettuce (iceberg),Овочі,14,0.9,0.1,3.0,1.2,0.4,18,7,141,0.2,25,0.04,0.03,0.04,0.00,2.8,0.0,0.2,24.1,0.06,1.0,1.0,1.0,1.0,1.0,0.05,0.95,1.0,1.0,1.0,0.10,0.98,1.0,1.0,1.0,0.05,0.98,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.05,0.95,1.0,1.0,1.0,0.10
51,Руккола,Руккола,Arugula,Овочі,25,2.6,0.7,3.7,1.6,1.5,160,47,369,0.5,119,0.04,0.09,0.07,0.00,15.0,0.0,0.4,108.6,0.17,1.0,0.95,1.0,1.0,1.0,0.12,0.88,1.08,1.0,1.15,0.22,0.92,1.05,1.0,1.08,0.15,0.93,1.03,1.0,1.05,0.18,0.95,1.0,1.0,1.0,0.10,0.90,1.08,1.0,1.12,0.20
52,Авокадо,Авокадо,Avocado,Овочі,160,2.0,14.7,8.5,6.7,0.6,12,29,485,0.6,7,0.07,0.13,0.26,0.00,10.0,0.0,2.1,21.0,0.11,1.0,1.0,1.0,1.0,1.0,0.05,0.95,1.05,1.0,1.08,0.12,0.98,1.02,1.0,1.03,0.08,0.98,1.02,1.0,1.02,0.10,1.0,1.0,1.0,1.0,0.05,0.95,1.05,1.0,1.08,0.12
53,Цибуля ріпчаста,Лук репчатый,Onion,Овочі,40,1.1,0.1,9.3,1.7,0.2,23,10,146,0.2,0,0.05,0.03,0.12,0.00,7.4,0.0,0.0,0.4,0.00,1.0,0.95,1.0,1.0,1.0,0.15,0.75,1.15,1.0,1.3,0.30,0.85,1.1,1.0,1.15,0.20,0.88,1.08,1.0,1.1,0.25,0.93,1.0,1.0,1.0,0.12,0.78,1.12,1.0,1.25,0.28
54,Часник,Чеснок,Garlic,Овочі,149,6.4,0.5,33.1,2.1,1.7,181,25,401,1.2,0,0.20,0.11,1.24,0.00,31.2,0.0,0.1,1.7,0.01,1.0,0.98,1.0,1.0,1.0,0.12,0.88,1.08,1.0,1.15,0.25,0.93,1.05,1.0,1.08,0.15,0.95,1.03,1.0,1.05,0.20,0.98,1.0,1.0,1.0,0.10,0.90,1.08,1.0,1.12,0.22
55,Картопля,Картофель,Potato,Овочі,77,2.0,0.1,17.5,2.1,0.8,12,23,425,0.3,0,0.08,0.03,0.30,0.00,19.7,0.0,0.0,2.0,0.01,1.0,1.15,1.0,1.0,1.0,0.15,0.70,1.3,1.0,1.6,0.30,0.78,1.2,1.0,1.25,0.20,0.85,1.12,1.0,1.15,0.25,1.12,1.0,1.0,1.0,0.12,0.75,1.25,1.0,1.5,0.28
56,Батат,Батат,Sweet potato,Овочі,86,1.6,0.1,20.1,3.0,0.6,30,25,337,0.3,709,0.08,0.06,0.21,0.00,2.4,0.0,0.3,1.8,0.01,1.0,1.12,1.0,1.0,1.0,0.12,0.75,1.25,1.0,1.45,0.25,0.82,1.15,1.0,1.2,0.18,0.88,1.1,1.0,1.12,0.22,1.10,1.0,1.0,1.0,0.10,0.78,1.2,1.0,1.35,0.22
57,Яблуко,Яблоко,Apple,Фрукти/Ягоди,52,0.3,0.2,13.8,2.4,0.1,6,5,107,0.0,3,0.02,0.03,0.04,0.00,4.6,0.0,0.2,2.2,0.01,1.0,0.98,1.0,1.0,1.0,0.08,0.85,1.1,1.0,1.2,0.18,0.92,1.05,1.0,1.08,0.12,0.95,1.03,1.0,1.05,0.15,0.98,1.0,1.0,1.0,0.08,0.88,1.08,1.0,1.15,0.15
58,Банан,Банан,Banana,Фрукти/Ягоди,89,1.1,0.3,22.8,2.6,0.3,5,27,358,0.2,3,0.03,0.07,0.37,0.00,8.7,0.0,0.1,0.5,0.08,1.0,0.95,1.0,1.0,1.0,0.10,0.88,1.08,1.0,1.15,0.20,0.92,1.05,1.0,1.08,0.15,0.93,1.03,1.0,1.05,0.18,0.95,1.0,1.0,1.0,0.10,0.90,1.08,1.0,1.12,0.18
